date,revenue
1/29/2022,1598836.67
2/5/2022,2150582.38
2/12/2022,2129408.6
2/19/2022,2119524.54
2/26/2022,2126714.9
3/5/2022,2143428
3/12/2022,2061661
3/19/2022,1917419
3/26/2022,2032112
4/2/2022,2080973
4/9/2022,2077797
4/16/2022,1721905
4/23/2022,1723112
4/30/2022,1711809
5/7/2022,2008750
5/14/2022,2048890
5/21/2022,2002247
5/28/2022,1912329
6/4/2022,1956164
6/11/2022,1957271
6/18/2022,1683970
6/25/2022,1961454
7/2/2022,2006776
7/9/2022,2183909
7/16/2022,2035196
7/23/2022,2037086
7/30/2022,2003395
8/6/2022,2140832
8/13/2022,1954530
8/20/2022,2016683
8/27/2022,1984254
9/3/2022,1992956
9/10/2022,2021497
9/17/2022,2027782
9/24/2022,1575724
10/1/2022,2032819
10/8/2022,1976719
10/15/2022,2207362
10/22/2022,2075906
10/29/2022,2096857
11/5/2022,1945485
11/12/2022,2141299
11/19/2022,2078416
11/26/2022,2031360
12/3/2022,2026777
12/10/2022,2008328
12/17/2022,1984959
12/24/2022,1816252
12/31/2022,114062
1/7/2023,529976
1/14/2023,1761312
1/21/2023,1889139
1/28/2023,1534689
2/4/2023,2069033
2/11/2023,2088506
2/18/2023,2042143
2/25/2023,2095786
3/4/2023,2105691
3/11/2023,2173028
3/18/2023,2009712
3/25/2023,2095510
4/1/2023,2073732
4/8/2023,1844182
4/15/2023,1646507
4/22/2023,2068912
4/29/2023,1688661
5/6/2023,2151855
5/13/2023,2151591
5/20/2023,2204857
5/27/2023,2110196
6/3/2023,2104073
6/10/2023,2166466
6/17/2023,1944775
6/24/2023,2193525
7/1/2023,2083746
7/8/2023,2907473
7/15/2023,2677978
7/22/2023,2715458
7/29/2023,2629497
8/5/2023,2708139
8/12/2023,2610057
8/19/2023,2598874
8/26/2023,2654267
9/2/2023,2651334
9/9/2023,2806901
9/16/2023,2691996
9/23/2023,2707783
9/30/2023,2491483
10/7/2023,2525572
10/14/2023,2822647
10/21/2023,2795134
10/28/2023,2786819
11/4/2023,2869848
11/11/2023,2554413
11/18/2023,2794402
11/25/2023,2811366
12/2/2023,2642460
12/9/2023,2637955
12/16/2023,2725958
12/23/2023,2587866
12/30/2023,181627
1/6/2024,653403
1/13/2024,2424463
1/20/2024,2590683
1/27/2024,2197762
2/3/2024,2786235
2/10/2024,2829080
2/17/2024,2771382
2/24/2024,2864346
3/2/2024,2917665
3/9/2024,2999878
3/16/2024,2853203
3/23/2024,2914462
3/30/2024,2423080
4/6/2024,2529331
4/13/2024,2961862
4/20/2024,2884912
4/27/2024,2261311
5/4/2024,2955266
5/12/2024,2838370
5/19/2024,2897908
5/26/2024,2901919
6/2/2024,2866444
6/9/2024,2960337
6/16/2024,2462532
6/23/2024,2848728
6/30/2024,2768993
7/07/2024,3326512
7/14/2024,3053092
7/21/2024,3018672
7/28/2024,3121881
8/4/2024,3169180
8/11/2024,3199918
8/18/2024,3164790
8/25/2024,3220104
9/1/2024,3200425
9/8/2024,3244690
9/15/2024,3238145
9/22/2024,3290045
9/29/2024,3063047
10/6/2024,3357826
10/13/2024,2830368
10/20/2024,3356136
10/27/2024,3249231
11/3/2024,3316811
11/10/2024,3032870
11/17/2024,3231924
11/24/2024,3324504
12/01/2024,3164232